surface_reelle_bati;nombre_pieces_principales;code_departement;type_local;valeur_fonciere
67.0;3.0;75;Appartement;620100.0
48.0;2.0;75;Appartement;490000.0
66.0;3.0;75;Appartement;712200.0
45.0;2.0;75;Appartement;550000.0
120.0;5.0;75;Appartement;660000.0
104.0;4.0;75;Appartement;1377500.0
29.0;1.0;75;Appartement;305825.0
28.0;2.0;75;Appartement;440000.0
95.0;4.0;75;Appartement;914180.0
71.0;3.0;75;Appartement;890000.0
62.0;3.0;75;Appartement;520000.0
38.0;2.0;75;Appartement;469500.0
25.0;1.0;75;Appartement;285000.0
68.0;2.0;75;Appartement;717000.0
48.0;2.0;75;Appartement;515000.0
50.0;2.0;75;Appartement;545000.0
94.0;4.0;75;Appartement;970500.0
71.0;3.0;75;Appartement;806000.0
