date_mutation;surface_reelle_bati;nombre_pieces_principales;code_departement;code_postal;longitude;latitude;type_local;valeur_fonciere
2025-03-28;67.0;3.0;75;75015;2.312621;48.837053;Appartement;620100.0
2023-10-11;48.0;2.0;75;75015;2.312621;48.837053;Appartement;490000.0
2023-09-15;66.0;3.0;75;75015;2.312621;48.837053;Appartement;712200.0
2023-03-11;45.0;2.0;75;75015;2.31313;48.83747;Appartement;550000.0
2022-12-07;120.0;5.0;75;75015;2.313672;48.837897;Appartement;660000.0
2022-10-14;104.0;4.0;75;75015;2.31313;48.83747;Appartement;1377500.0
2022-10-05;29.0;1.0;75;75015;2.312621;48.837053;Appartement;305825.0
2022-09-15;28.0;2.0;75;75015;2.31313;48.83747;Appartement;440000.0
2022-06-10;95.0;4.0;75;75015;2.312621;48.837053;Appartement;914180.0
2022-04-20;71.0;3.0;75;75015;2.313672;48.837897;Appartement;890000.0
2022-03-28;62.0;3.0;75;75015;2.31313;48.83747;Appartement;520000.0
2022-01-13;38.0;2.0;75;75015;2.312621;48.837053;Appartement;469500.0
2021-08-31;25.0;1.0;75;75015;2.31313;48.83747;Appartement;285000.0
2021-05-10;68.0;2.0;75;75015;2.31313;48.83747;Appartement;717000.0
2021-04-08;48.0;2.0;75;75015;2.312621;48.837053;Appartement;515000.0
2021-02-23;50.0;2.0;75;75015;2.312621;48.837053;Appartement;545000.0
2021-02-05;94.0;4.0;75;75015;2.31313;48.83747;Appartement;970500.0
2020-10-15;71.0;3.0;75;75015;2.31313;48.83747;Appartement;806000.0
