date_mutation;surface_reelle_bati;nombre_pieces_principales;code_departement;code_postal;longitude;latitude;type_local;valeur_fonciere
2025-06-30;93.0;4.0;75;75019;2.377152945;48.88412226;Appartement;1087450.0
2025-06-30;91.0;4.0;75;75019;2.377842302;48.88640615;Appartement;920000.0
2025-06-30;90.0;3.0;75;75004;2.362662267;48.85260166;Appartement;1300000.0
2025-06-30;89.0;0.0;75;75008;2.306719074;48.87413732;Local industriel. commercial ou assimilé;1420000.0
2025-06-30;84.0;4.0;75;75017;2.299436172;48.88391929;Appartement;950000.0
2025-06-30;80.0;3.0;75;75010;2.35629354;48.8707796;Appartement;800000.0
2025-06-30;76.0;3.0;75;75018;2.341402248;48.89318493;Appartement;646000.0
2025-06-30;67.0;3.0;75;75003;2.359626773;48.86532387;Appartement;1130000.0
2025-06-30;62.0;3.0;75;75010;2.359483528;48.86982028;Appartement;270000.0
2025-06-30;59.0;2.0;75;75019;2.381529939;48.87700586;Appartement;750000.0
2025-06-30;55.0;3.0;75;75011;2.39009392;48.85106556;Appartement;552000.0
2025-06-30;54.0;2.0;75;75018;2.334725581;48.89032796;Appartement;671700.0
2025-06-30;50.0;0.0;75;75014;2.325492712;48.82695868;Local industriel. commercial ou assimilé;318000.0
2025-06-30;47.0;3.0;75;75013;2.371573529;48.82666267;Appartement;413000.0
2025-06-30;47.0;2.0;75;75015;2.283010382;48.83873486;Appartement;446950.0
2025-06-30;44.0;1.0;75;75009;2.346893845;48.87914892;Appartement;389000.0
2025-06-30;43.0;3.0;75;75018;2.34335511;48.89276042;Appartement;666500.0
2025-06-30;43.0;0.0;75;75017;2.321833249;48.88291163;Local industriel. commercial ou assimilé;225000.0
2025-06-30;42.0;2.0;75;75015;2.288983515;48.84309461;Appartement;350000.0
2025-06-30;42.0;2.0;75;75009;2.344312724;48.87824494;Appartement;560000.0
2025-06-30;41.0;3.0;75;75019;2.374439175;48.88029646;Appartement;440000.0
2025-06-30;40.0;2.0;75;75019;2.386983509;48.88331177;Appartement;323200.0
2025-06-30;35.0;2.0;75;75018;2.34224592;48.89041272;Appartement;402500.0
2025-06-30;32.0;2.0;75;75001;2.33160121;48.86464591;Appartement;320000.0
2025-06-30;30.0;1.0;75;75016;2.279201118;48.86867122;Appartement;285000.0
2025-06-30;119.0;4.0;75;75017;2.307237341;48.88280766;Appartement;1366100.0
2025-06-30;105.0;3.0;75;75013;2.372694289;48.82639963;Appartement;730000.0
2025-06-30;100.0;3.0;75;75002;2.343089118;48.86737091;Appartement;2045700.0
2025-06-27;95.0;4.0;75;75005;2.350928508;48.85000725;Appartement;1145000.0
2025-06-27;90.0;4.0;75;75009;2.342857017;48.87285194;Appartement;945000.0
2025-06-27;79.0;4.0;75;75008;2.317149465;48.87480043;Appartement;980000.0
2025-06-27;75.0;3.0;75;75014;2.330762932;48.8253741;Appartement;767000.0
2025-06-27;75.0;3.0;75;75012;2.399426539;48.83980215;Appartement;670000.0
2025-06-27;70.0;0.0;75;75020;2.403441446;48.85247407;Local industriel. commercial ou assimilé;318000.0
2025-06-27;64.0;2.0;75;75018;2.345102928;48.88773208;Appartement;650000.0
2025-06-27;58.0;2.0;75;75018;2.344300604;48.88851656;Appartement;607950.0
2025-06-27;52.0;3.0;75;75010;2.362876463;48.86946815;Appartement;594900.0
2025-06-27;50.0;0.0;75;75001;2.332112166;48.86427034;Local industriel. commercial ou assimilé;520000.0
2025-06-27;47.0;2.0;75;75005;2.351228787;48.8491328;Appartement;550386.1
2025-06-27;45.0;2.0;75;75004;2.357435146;48.85633162;Appartement;450000.0
2025-06-27;45.0;0.0;75;75003;2.359769865;48.86399837;Local industriel. commercial ou assimilé;230000.0
2025-06-27;35.0;2.0;75;75004;2.364544007;48.85299321;Appartement;680000.0
2025-06-27;31.0;0.0;75;75014;2.32724267;48.82615412;Local industriel. commercial ou assimilé;210000.0
2025-06-27;30.0;2.0;75;75001;2.341032198;48.86302027;Appartement;387320.0
2025-06-27;30.0;1.0;75;75012;2.392713694;48.84558839;Appartement;247000.0
2025-06-26;96.0;5.0;75;75006;2.338954554;48.8558817;Appartement;1577000.0
2025-06-26;94.0;4.0;75;75004;2.367477638;48.85246621;Appartement;1150000.0
2025-06-26;90.0;4.0;75;75018;2.34147323;48.88783691;Appartement;1150000.0
2025-06-26;77.0;4.0;75;75013;2.367398622;48.82174952;Appartement;460000.0
2025-06-26;73.0;3.0;75;75009;2.348587349;48.88266213;Appartement;730000.0
2025-06-26;70.0;3.0;75;75016;2.284128103;48.86946704;Appartement;540000.0
2025-06-26;63.0;3.0;75;75003;2.36122648;48.86734579;Appartement;24000.0
2025-06-26;57.0;4.0;75;75011;2.377749793;48.85982835;Appartement;360000.0
2025-06-26;55.0;3.0;75;75005;2.340538637;48.84175021;Appartement;665000.0
2025-06-26;55.0;2.0;75;75006;2.332956837;48.85285403;Appartement;640000.0
2025-06-26;51.0;3.0;75;75019;2.378332601;48.87714618;Appartement;371280.0
2025-06-26;50.0;2.0;75;75018;2.339816073;48.89484972;Appartement;305000.0
2025-06-26;50.0;2.0;75;75017;2.304793453;48.88988078;Appartement;415750.0
2025-06-26;32.0;2.0;75;75020;2.40563346;48.85545083;Appartement;323500.0
2025-06-26;31.0;1.0;75;75019;2.381255612;48.87529532;Appartement;290000.0
2025-06-26;111.0;2.0;75;75008;2.305856195;48.86641689;Appartement;3500000.0
2025-06-26;109.0;4.0;75;75001;2.336028814;48.86639486;Appartement;1700000.0
2025-06-25;92.0;2.0;75;75016;2.284353327;48.86194463;Appartement;1370000.0
2025-06-25;85.0;4.0;75;75017;2.321716449;48.88618833;Appartement;870500.0
2025-06-25;81.0;4.0;75;75020;2.397518789;48.86906487;Appartement;707000.0
2025-06-25;80.0;4.0;75;75008;2.303587018;48.86816537;Appartement;600000.0
2025-06-25;78.0;4.0;75;75013;2.367065677;48.83375412;Appartement;499275.0
2025-06-25;61.0;3.0;75;75015;2.282576389;48.84259086;Appartement;690046.0
2025-06-25;59.0;2.0;75;75018;2.336381681;48.88979871;Appartement;635000.0
2025-06-25;58.0;3.0;75;75005;2.345250807;48.8497348;Appartement;717000.0
2025-06-25;52.0;2.0;75;75015;2.280262176;48.84729731;Appartement;560000.0
2025-06-25;50.0;2.0;75;75003;2.364050677;48.86436585;Appartement;585000.0
2025-06-25;46.0;3.0;75;75004;2.358565721;48.85561688;Appartement;528000.0
2025-06-25;45.0;2.0;75;75004;2.362381386;48.85506721;Appartement;690000.0
2025-06-25;45.0;1.0;75;75007;2.305082851;48.85475959;Appartement;820000.0
2025-06-25;44.0;2.0;75;75010;2.372835597;48.87103452;Appartement;245000.0
2025-06-25;43.0;0.0;75;75005;2.340478147;48.84027539;Local industriel. commercial ou assimilé;284000.0
2025-06-25;41.0;2.0;75;75006;2.331468681;48.84246566;Appartement;391304.34
2025-06-25;39.0;2.0;75;75018;2.344689623;48.89081559;Appartement;365000.0
2025-06-25;38.0;2.0;75;75009;2.349014711;48.88112887;Appartement;336500.0
2025-06-25;38.0;1.0;75;75018;2.340647124;48.89161603;Appartement;335000.0
2025-06-25;36.0;2.0;75;75009;2.346181755;48.88153312;Appartement;345000.0
2025-06-25;33.0;2.0;75;75009;2.341739471;48.88050555;Appartement;497800.0
2025-06-25;33.0;1.0;75;75012;2.396300634;48.84613539;Appartement;375000.0
